Datum,Gemeinde,Ortsteil,Straße,Kategorie,Einbruchsversuch,Täter festgenommen?,ganze Polizei-Meldung
08.01.2015,Zwingenberg,,,Gaststätte,,,"Einbruch Offensichtlich auf mehrere Flaschen Hochprozentiges hatte es ein bislang unbekannter Täter bei einem Einbruch in der Nacht zum Donnerstag in Zwingenberg abgesehen. Nachdem der Unbekannte eine Tür zur Sporthalle aufgebrochen hatte, gelangte er ins Innere und durchstöberte dort die Räumlichkeiten sowie mehrere Schränke nach möglichem Diebesgut. Da er vermutlich nichts Stehlenswertes fand, brach er zwei weitere Türen, die zum angrenzenden Schützenheim führen, auf. Auch dort fand er wahrscheinlich keine Wertgegenstände. In einem Lager der Sporthalle fand er schließlich mehrere Flaschen Whiskey, Wodka und Kräuterschnaps, die er mitgehen ließ. Zeugen des Vorfalls oder Personen, die sachdienliche Hinweise geben können, sollten sich bei der Mosbacher Polizei unter Telefon 06261 809-0 melden."
08.01.2015,Bad Mergentheim,,Eisenbergweg,,,,"Schmuckstücke fielen Unbekannten bei einem Einbruch am Donnerstagabend in Bad Mergentheim, Eisenbergweg, in die Hände. Die Täter hebelten während der Abwesenheit der Hauseigentümer, in der Zeit zwischen 17 und 18:25 Uhr, ein Wintergartenfenster an der Rückseite eines Wohnhauses auf. Hierdurch kamen sie ins Gebäude, durchsuchten nahezu alle Räume und verschwanden mit aufgefundenem Schmuck wieder. Die Kriminalpolizei Tauberbischofsheim, Telefon 09341 81-0, sucht Zeugen. Wer im Tatzeitraum im Bereich des Eisenbergweges verdächtige Wahrnehmungen, verdächtige Personen oder Fahrzeuge beobachtet hat, wird gebeten, sich mit der Kripo in Verbindung zu setzen."
09.01.2015,Ilsfeld,,Grafenbergstraße,,,,"Die kurze Abwesenheit der Hausbesitzer nutze ein unbekannter Täter am Freitag, 09.01.2015, zwischen 17.00 und 18.15 Uhr, um ein Fenster in Ilsfeld, in der Grafenbergstraße, aufzubrechen. Durch dieses drang der Täter dann in das am Ortrand stehende Haus ein. Es wurden fast alle Schränke durchsucht. Aus dem Schlafzimmer wurden zwei goldene Halsketten mit Brillantanhängern, zwei Ohrringe mit Brillanten und eine doppelte Perlenhalskette im Wert von mehreren tausend Euro entwen-det. Aus einer Geldbörse in der Garderobe wurde noch Bargeld entwendet. In der Nachbarschaft wird am Nachmittag eine männliche Person, dunkel gekleidet, beobach-tet, die offensichtlich Gebäude ausbaldowert hat. Eine nähere Beschreibung ist nicht bekannt. Der Sachschaden am Einstiegsfenster beträgt ca. 500 EUR."
10.01.2015,Öhringen,,Weinsbacher Straße,,,,"In der Zeit zwischen Freitag, 09.01.2015, 19:00 Uhr und Samstag, 10.01.2015, 01:26 Uhr wuchtete ein unbekannter Täter das Fenster der Speisekammer eines Wohnhauses in der Weinsbacher Straße auf. Über dieses Fenster gelangte der Täter ins Haus und durchsuchte dort sämtliche Wohnräume. Laut Angaben des Geschädigten wurde lediglich ein Geldbeutel mit Bargeld aus dem Küchen-schrank entwendet."
10.01.2015,Heilbronn,,,Firmengebäude,,,Bislang unbekannte Täter verschafften sich am vergangenen Samstag in der Zeit zwischen 02.30 und 07.15 Uhr durch Aufbrechen eines Fensters Zugang zu einer Fahrschule in der Heilbronner Innenstadt. Der Täter entwendete einen etwa 70 kg schweren Tresor mit Bargeld im unteren vierstelligen Bereich.
10.01.2015,Heilbronn,Kirchhausen,Schlossstraße,,X,,"In der Nacht von Freitag auf Samstag versuchte ein unbekannter Täter über das Fallrohr der Regenrinne eines Wohnhauses in der Schlossstraße auf das Dach zu gelangen. Das Fallrohr befindet sich an der rückwärtigen Seite des Wohnhauses. Die Zugänge zum Balkonbereich waren jedoch fest verschlossen, so dass der Täter von seinem Vorhaben ablässt. Es wurden lediglich eine Außenleuchte und das Fallrohr beschädigt. Zeugen werden gebeten sachdienliche Hinweise zu dem versuchten Einbruch an das Polizeirevier Böckingen unter Telefon 07131/204060 zu melden."
10.01.2015,Neudenau,,Forststraße,,,,"Am vergangenen Samstag, in der Zeit von 14.30 - 21.00 Uhr machten sich mindenstens zwei Täter an Wohnhäusern in Neudenau zu schaffen. Zunächst gingen sie ein Wohnhaus in der Forststraße an. Dort hebelten sie mit einem unbe-kannten Werkzeug die Terrassentüre auf der Gebäuderückseite auf und gelangten so in das Gebäude. Im Obergeschoß wurden sämtliche Räume betreten und Schränke durchsucht. Auf-fällig war, dass die Täter die Schubladen und Türen wieder ordnungsgemäß verschlossen ha-ben. Die Hausbesitzer waren kurzfristig bei einer Veranstaltung und kehrten um 21.30 Uhr zurück. Was genau entwendet wurde, ist noch nicht bekannt. Vermutlich die gleichen Täter brachen wohl zuvor oder kurz danach in ein Einfamilienhaus in der Ahornstraße ein. Hier gelangten sie über das Esszimmerfenster in das Wohnhaus. Sie durchsuchten das gesamte Objekt und entwendeten Schmuck und Bargeld. Sie verließen das Haus wieder über die bereits zuvor geöffnete Terrassentüre."
10.01.2015,Neudenau,,Ahornstraße,,,,"Am vergangenen Samstag, in der Zeit von 14.30 - 21.00 Uhr machten sich mindenstens zwei Täter an Wohnhäusern in Neudenau zu schaffen. Zunächst gingen sie ein Wohnhaus in der Forststraße an. Dort hebelten sie mit einem unbe-kannten Werkzeug die Terrassentüre auf der Gebäuderückseite auf und gelangten so in das Gebäude. Im Obergeschoß wurden sämtliche Räume betreten und Schränke durchsucht. Auf-fällig war, dass die Täter die Schubladen und Türen wieder ordnungsgemäß verschlossen ha-ben. Die Hausbesitzer waren kurzfristig bei einer Veranstaltung und kehrten um 21.30 Uhr zurück. Was genau entwendet wurde, ist noch nicht bekannt. Vermutlich die gleichen Täter brachen wohl zuvor oder kurz danach in ein Einfamilienhaus in der Ahornstraße ein. Hier gelangten sie über das Esszimmerfenster in das Wohnhaus. Sie durchsuchten das gesamte Objekt und entwendeten Schmuck und Bargeld. Sie verließen das Haus wieder über die bereits zuvor geöffnete Terrassentüre."
10.01.2015,Bretzfeld,,Lindelbergstraße,,,,"In der Zeit vom vergangenen Donnerstag 18.30 Uhr bis Samstagmorgen, 09.00 Uhr warfen bislang unbekannte Täter ein Badezimmerfenster eines Wohnobjektes in der Lindelbergstraße ein. Die Geschädigte weilte während der Tatzeit nicht im Haus. Mit zwei am Tatort vorgefundenen Plastiktonnen wurde eine provisorische Steighilfe gebaut, durch die die Täter letztendlich an das beschädigte Fenster gelangten und dies öffnen konnten. Nachdem die Täter durch das Fenster eingestiegen waren, wurden im Erdgeschoß sämtliche Zimmer und Schränke durchsucht, wobei aus einem Behältnis im Wohnzimmer Schmuck, Uhren und Ketten entwendet wurden. Im Anschluss verließen die Täter das Objekt über das Schlafzimmerfenster. Den zuvor benutz-ten Ziegelstein warfen sie aus dem Fenster. Der Diebstahlschaden liegt im vierstelligen Bereich, der Sachschaden beläuft sich auf ca. 150 Euro. Die Polizei sucht Zeugen, die zu dem Einbruch Hinweise geben können. Sachdienliche Hinweise werden unter 07941/9300 an das Polizeirevier in Öhringen erbeten."
10.01.2015,Öhringen,Eckartsweiler,Weinsbacher Straße,,,,"In der Zeit von Freitag auf Samstag 19.00 Uhr - 01.30 Uhr, brachen unbekannte Täter in der Weinsbacher Straße das Fenster zu einem kleineren Zimmer auf. Über das gewaltsam geöffnete Fenster gelangten der oder die Täter in das Wohnhaus und durchsuchten dort sämtliche Wohnräume. Nach den Angaben des Geschädigten erbeuteten die Täter einen Geldbeutel mit einem dreistelligen Bargeldbetrag und die EC-Karte mit dazugehöriger PIN. Sachdienliche Hinweise zu dem Einbruch nimmt das Polizeirevier in Öhringen unter Telefon 07941/9300 entgegen."
